English,Hindi
and,तथा
a,एक
of,का
to,प्रति
in,में
i,मैं
you,तुम
it,यह
have,पास होना
to,प्रति
that,वह
for,के लिये
do,करना
he,वह
with,साथ
on,पर
this,यह
n’t,नहीं
we,हम
that,वह
not,नहीं
but,लेकिन
they,वे
say,कहो
at,पर
what,क्या
his,उसके
from,से
go,जाओ
or,या
by,द्वारा
get,प्राप्त
she,वह
my,मेरे
can,कर सकते हैं
as,जैसा
know,जानना
if,यदि
me,मुझे
your,आपका
all,सब
who,कौन
about,के बारे में
their,उनका
will,मर्जी
so,इसलिए
would,चाहेंगे
make,बनाना
just,अभी-अभी
up,यूपी
think,सोच
time,समय
there,वहां
see,देखना
her,उसकी
as,जैसा
out,बाहर
one,एक
come,आइए
people,लोग
take,लेना
year,साल
him,उसे
them,उन्हें
some,कुछ
want,चाहते हैं
how,कैसे
when,जब
which,कौन सा
now,अभी व
like,पसंद करना
other,अन्य
could,सकता है
our,हमारी
into,में
here,यहां
then,फिर
than,बजाय
look,देखना
way,मार्ग
more,अधिक
these,इन
no,नहीं
thing,चीज़
well,कुंआ
because,इसलिये
also,भी
two,दो
use,उपयोग
tell,बताना
good,अच्छा
first,पहला
man,आदमी
day,दिन
find,पाना
give,देना
more,अधिक
new,नया
one,एक
us,हम
any,कोई
those,वे
very,बहुत
her,उसकी
need,जरुरत
back,पीछे
there,वहां
should,चाहिए
even,यहाँ तक की
only,केवल
many,बहुत सा
really,वास्तव में
work,काम
life,जिंदगी
why,क्यों
right,सही
down,नीचे
on,पर
try,प्रयत्न
let,होने देना
something,कुछ
too,बहुत
call,बुलाना
woman,महिला
may,मई
still,फिर भी
through,के माध्यम से
mean,अर्थ
after,बाद में
never,कभी नहीँ
no,नहीं
world,दुनिया
in,में
feel,अनुभव करना
yeah,हां
great,महान
last,अंतिम
child,बच्चा
oh,ओह
over,ऊपर
ask,पूछना
when,जब
as,जैसा
school,स्कूल
state,राज्य
much,अधिकता
talk,बात करना
out,बाहर
keep,रखना
leave,छुट्टी
put,रखना
like,पसंद करना
help,मदद करना
big,बड़ा
where,कहाँ पे
same,वही
all,सब
own,अपना
while,जबकि
start,प्रारंभ
three,तीन
high,उच्च
every,हर एक
another,दूसरा
become,बनना
most,अधिकांश
between,के बीच
happen,होना
family,परिवार
over,ऊपर
president,राष्ट्रपति
old,पुराना
yes,हां
house,मकान
show,प्रदर्शन
again,फिर से
student,छात्र
so,इसलिए
seem,प्रतीत होना
might,ताकत
part,अंश
hear,सुनो
its,इसका
place,स्थान
problem,संकट
where,कहाँ पे
believe,मानना
country,देश
always,हमेशा
week,सप्ताह
point,बिंदु
hand,हाथ
off,बंद
play,प्ले Play
turn,मोड़
few,कुछ
group,समूह
such,ऐसा
against,के खिलाफ
run,दौड़ना
guy,लोग
about,के बारे में
case,मामला
question,प्रश्न
work,काम
night,रात
live,लाइव
game,खेल
number,संख्या
write,लिखना
bring,लाओ
without,बिना
money,पैसे
lot,बहुत
most,अधिकांश
book,किताब
system,व्यवस्था
government,सरकार
next,अगला
city,शहर
company,कंपनी
story,कहानी
today,आज
job,काम
move,कदम
must,ज़रूरी
bad,बुरा
friend,दोस्त
during,दौरान
begin,शुरू करना
love,प्यार
each,प्रत्येक
hold,पकड़
different,विभिन्न
american,अमेरिकन
little,थोड़ा
before,इससे पहले
ever,कभी
word,शब्द
fact,तथ्य
right,सही
read,पढ़ना
anything,कुछ भी
nothing,कुछ नहीं
sure,ज़रूर
small,छोटा
month,महीना
program,कार्यक्रम
maybe,शायद
right,सही
under,नीचे
business,व्यापार
home,घर
kind,मेहरबान
stop,विराम
pay,भुगतान करना
study,अध्ययन
since,जबसे
issue,मुद्दा
name,नाम
idea,विचार
room,कमरा
percent,प्रतिशत
far,दूर
away,दूर
law,कानून
actually,वास्तव में
large,विशाल
though,यद्यपि
provide,प्रदान करना
lose,खोना
power,शक्ति
kid,बच्चा
war,युद्ध
understand,समझना
head,सिर
mother,मां
real,वास्तविक
best,श्रेष्ठ
team,टीम
eye,आँख
long,लंबा
long,लंबा
side,पक्ष
water,पानी
young,युवा
wait,रुको
okay,ठीक है
both,दोनों
yet,अभी तक
after,बाद में
meet,मिलना
service,सर्विस
area,क्षेत्र
important,महत्वपूर्ण
person,व्यक्ति
hey,अरे
thank,धन्यवाद देना
much,अधिकता
someone,कोई तो
end,समाप्त
change,परिवर्तन
however,हालांकि
only,केवल
around,चारों ओर
hour,घंटा
everything,हर चीज़
national,राष्ट्रीय
four,चार
line,रेखा
girl,लड़की
around,चारों ओर
watch,घड़ी
until,तक
father,पिता
sit,बैठिये
create,सृजन करना
information,जानकारी
car,गाड़ी
learn,सीखना
least,कम से कम
already,पहले से ही
kill,मारना
minute,मिनट
party,समारोह
include,शामिल
stand,स्टैंड
together,साथ में
back,पीछे
follow,पालन ​​करना
health,स्वास्थ्य
remember,याद करना
often,अक्सर
reason,कारण
speak,बोलना
ago,पहले
set,समूह
black,काला
member,सदस्य
community,समुदाय
once,एक बार
social,सामाजिक
news,समाचार
allow,अनुमति
win,जीत
body,तन
lead,प्रमुख
continue,जारी रखें
whether,या
enough,पर्याप्त
spend,खर्च करते हैं
level,स्तर
able,काबिल
political,राजनीतिक
almost,लगभग
boy,लड़का
university,विश्वविद्यालय
before,इससे पहले
stay,रहना
add,जोड़ें
later,बाद में
change,परिवर्तन
five,पांच
probably,संभवत
center,केंद्र
among,के बीच
face,चेहरा
public,जनता
die,मरना
food,भोजन
else,वरना
history,इतिहास
buy,खरीदना
result,नतीजा
morning,प्रभात
off,बंद
parent,माता-पिता
office,कार्यालय
course,पाठ्यक्रम
send,भेजना
research,अनुसंधान
walk,टहल लो
door,द्वार
white,सफेद
several,कई
court,कोर्ट
home,घर
grow,बढ़ना
better,बेहतर
open,खोलना
moment,पल
including,समेत
consider,विचार करना
both,दोनों
such,ऐसा
little,थोड़ा
within,अंदर
second,दूसरा
late,स्वर्गीय
street,सड़क
free,नि: शुल्क
better,बेहतर
everyone,हर कोई
policy,नीति
table,मेज़
sorry,माफ़ करना
care,ध्यान
low,कम
human,मानव
please,कृपया
hope,आशा
TRUE,सच
process,प्रक्रिया
teacher,शिक्षक
data,जानकारी
offer,प्रस्ताव
death,मौत
whole,पूरे
experience,अनुभव
plan,योजना
easy,आसान
education,शिक्षा
build,बनाना
expect,अपेक्षा करना
fall,गिरना
himself,वह स्वयं
age,आयु
hard,कठिन
sense,विवेक
across,आर-पार
show,प्रदर्शन
early,जल्दी
college,कॉलेज
music,संगीत
appear,के जैसा लगना
mind,मन
class,कक्षा
police,पुलिस
use,उपयोग
effect,प्रभाव
season,मौसम
tax,कर
heart,हृदय
son,बेटा
art,कला
possible,संभव के
serve,सेवा कर
break,टूटना
although,यद्यपि
end,समाप्त
market,मंडी
even,यहाँ तक की
air,वायु
force,ताकत
require,ज़रूरत होना
foot,पैर
up,यूपी
listen,सुनना
agree,सहमत होना
according,अनुसार
anyone,किसी को
baby,शिशु
wrong,गलत
love,प्यार
cut,कट गया
decide,तय करना
republican,रिपब्लिकन
full,भरा हुआ
behind,पीछे
pass,रास्ता
interest,रुचि
sometimes,कभी-कभी
security,सुरक्षा
eat,खाना खा लो
report,रिपोर्ट good
control,नियंत्रण
rate,भाव
local,स्थानीय
suggest,सुझाव देना
report,रिपोर्ट good
nation,राष्ट्र
sell,बेचना
action,गतिविधि
support,सहयोग
wife,बीवी
decision,फेसला
receive,प्राप्त करना
value,मूल्य
base,आधार
pick,चुनना
phone,फ़ोन
thanks,धन्यवाद
event,प्रतिस्पर्धा
drive,चलाना
strong,बलवान
reach,पहुंच
remain,अवशेष
explain,समझाना
site,साइट
hit,मारो
pull,खींचना
church,गिरजाघर
model,नमूना
perhaps,शायद
relationship,रिश्ता
six,छह
fine,ठीक
movie,चलचित्र
field,खेत
raise,उठाना
less,कम
player,खिलाड़ी
couple,जोड़ा
million,दस लाख
themselves,खुद
record,अभिलेख
especially,विशेषकर
difference,अंतर
light,रोशनी
development,विकास
federal,संघीय
former,भूतपूर्व
role,भूमिका
pretty,सुंदर
myself,खुद
view,दृश्य
price,कीमत
effort,कोशिश
nice,अच्छा
quite,पूर्णतया
along,साथ-साथ
voice,आवाज़
finally,आखिरकार
department,विभाग
either,या
toward,की ओर
leader,नेता
because,इसलिये
photo,तस्वीर
wear,घिसाव
space,अंतरिक्ष
project,परियोजना
return,वापसी
position,स्थान
special,विशेष
million,दस लाख
film,पतली परत
need,जरुरत
major,मेजर
type,प्रकार
town,नगर
article,लेख
road,सड़क
form,प्रपत्र
chance,मोका
drug,दवा
economic,आर्थिक
situation,परिस्थिति
choose,चुनें
practice,अभ्यास
cause,कारण
happy,प्रसन्न
science,विज्ञान
join,जोड़ना
teach,सिखाना
early,जल्दी
develop,विकास करना
share,शेयर करना
yourself,स्वयं
carry,ले जाना
clear,स्पष्ट
brother,भाई
matter,मामला
dead,मृत
image,छवि
star,सितारा
cost,लागत
simply,केवल
post,पद
society,समाज
picture,चित्र
piece,टुकड़ा
paper,कागज़
energy,ऊर्जा
personal,व्यक्तिगत
building,इमारत
military,सैन्य
open,खोलना
doctor,चिकित्सक
activity,गतिविधि
exactly,बिल्कुल
american,अमेरिकन
media,मीडिया
miss,कुमारी
evidence,प्रमाण
product,उत्पाद
realize,समझना
save,सहेजें
arm,बाजू
technology,तकनीकी
catch,पकड़
comment,टिप्पणी
look,देखना
term,शर्त
color,रंग
cover,ढकना
describe,वर्णन करना
guess,अनुमान लगाना
choice,पसंद
source,स्रोत
mom,मां
soon,जल्द ही
director,निर्देशक
international,अंतरराष्ट्रीय
rule,नियम
campaign,अभियान
ground,मैदान
election,चुनाव
face,चेहरा
uh,उह
check,जांच
page,पृष्ठ
fight,लड़ाई
itself,अपने आप
test,परीक्षण
patient,रोगी
produce,उत्पाद
certain,निश्चित
whatever,जो भी हो
half,आधा
video,वीडियो
support,सहयोग
throw,फेंकना
third,तीसरा
care,ध्यान
rest,विश्राम
recent,हाल ही का
available,उपलब्ध
step,कदम
ready,तैयार
opportunity,अवसर
official,अधिकारी
oil,तेल
call,बुलाना
organization,संगठन
character,चरित्र
single,एक
current,वर्तमान
likely,संभावित
county,काउंटी
future,भविष्य
dad,पापा
whose,किसका
less,कम
shoot,गोली मार
industry,उद्योग
second,दूसरा
list,सूची
general,सामान्य
stuff,सामग्री
figure,आकृति
attention,ध्यान
forget,भूल जाओ
risk,जोखिम
no,नहीं
focus,केंद्र
short,कम
fire,आग
dog,कुत्ता
red,लाल
hair,केश
point,बिंदु
condition,स्थि‍ति
wall,दीवार
daughter,बेटी
before,इससे पहले
deal,सौदा
author,लेखक
truth,सत्य
upon,ऊपर
husband,पति
period,अवधि
series,श्रृंखला
order,गण
officer,अफ़सर
close,बंद करना
land,भूमि
note,टिप्पणी
computer,संगणक
thought,सोच
economy,अर्थव्यवस्था
goal,लक्ष्य
bank,बैंक
behavior,व्‍यवहार
sound,ध्वनि
deal,सौदा
certainly,निश्चित रूप से
nearly,लगभग
increase,बढ़ोतरी
act,कार्यवाही करना
north,उत्तर
well,कुंआ
blood,रक्त
culture,संस्कृति
medical,चिकित्सा
ok,ठीक है
everybody,हर कोई
top,ऊपर
difficult,कठिन
close,बंद करना
language,भाषा: हिन्दी
window,खिड़की
response,जवाब
population,आबादी
lie,लेट जाना
tree,पेड़
park,पार्क
worker,मज़दूर
draw,चित्र बनाना
plan,योजना
drop,बूंद
push,धकेलना
earth,धरती
cause,कारण
per,प्रति
private,निजी
tonight,आज रात
race,जाति
than,बजाय
letter,पत्र
other,अन्य
gun,बंदूक
simple,सरल
course,पाठ्यक्रम
wonder,आश्चर्य
involve,शामिल होना
hell,नरक
poor,गरीब
each,प्रत्येक
answer,उत्तर
nature,प्रकृति
administration,प्रशासन
common,सामान्य
no,नहीं
hard,कठिन
message,संदेश
song,गाना
enjoy,का आनंद लें
similar,एक जैसा
congress,कांग्रेस
attack,हमला
past,अतीत
hot,गरम
seek,मांगना
amount,रकम
analysis,विश्लेषण
store,दुकान
defense,रक्षा
bill,बिल
like,पसंद करना
cell,कक्ष
away,दूर
performance,प्रदर्शन
hospital,अस्पताल
bed,बिस्तर
board,मंडल
protect,रक्षा करना
century,सदी
summer,गर्मी
material,सामग्री
individual,व्यक्तिगत
recently,हाल ही में
example,उदाहरण
represent,प्रतिनिधित्व करना
fill,भरना
state,राज्य
place,स्थान
animal,जानवर
fail,विफल
factor,कारक
natural,प्राकृतिक
sir,महोदय
agency,एजेंसी
usually,आमतौर पर
significant,महत्वपूर्ण
help,मदद करना
ability,योग्यता
mile,मील
statement,बयान
entire,संपूर्ण
democrat,प्रजातंत्रवादी
floor,मंज़िल
serious,गंभीर
career,करियर
dollar,डॉलर
vote,वोट
sex,लिंग
compare,तुलना करना
south,दक्षिण
forward,आगे
subject,विषय
financial,वित्तीय
identify,पहचानना
beautiful,सुंदर
decade,दशक
bit,काटा
reduce,कम करना
sister,बहन
quality,गुणवत्ता
quickly,तुरंत
act,कार्यवाही करना
press,दबाएँ
worry,चिंता
accept,मानना
enter,प्रवेश करना
mention,उल्लेख
sound,ध्वनि
thus,इस प्रकार
plant,पौधा
movement,गति
scene,दृश्य
section,खंड
treatment,इलाज
wish,तमन्ना
benefit,फायदा
interesting,दिलचस्प
west,पश्चिम
candidate,उम्मीदवार
approach,दृष्टिकोण
determine,ठानना
resource,संसाधन
claim,दावा
answer,उत्तर
prove,सिद्ध करना
sort,क्रम से लगाना
enough,पर्याप्त
size,आकार
somebody,कोई
knowledge,ज्ञान
rather,बल्कि
hang,टांगना
sport,खेल
tv,टीवी
loss,हानि
argue,बहस करना
left,बाएं
note,टिप्पणी
meeting,बैठक
skill,कौशल
card,कार्ड
feeling,भावना
despite,इसके बावजूद
degree,डिग्री
crime,अपराध
that,वह
sign,संकेत
occur,घटित होना
imagine,कल्पना करना
vote,वोट
near,पास
king,राजा
box,डिब्बा
present,वर्तमान
figure,आकृति
seven,सात
foreign,विदेशी
laugh,हंसना
disease,बीमारी
lady,महिला
beyond,आगे
discuss,चर्चा करें
finish,समाप्त
design,डिजाईन
concern,चिंता
ball,गेंद
east,पूर्व
recognize,पहचानना
apply,लागू
prepare,तैयार
network,नेटवर्क
huge,विशाल
success,सफलता
district,जिला Seoni
cup,कप
name,नाम
physical,शारीरिक
growth,वृद्धि
rise,वृद्धि
hi,नमस्ते
standard,मानक
force,ताकत
sign,संकेत
fan,प्रशंसक
theory,लिखित
staff,कर्मचारी
hurt,आहत
legal,कानूनी
september,सितंबर
set,समूह
outside,बाहर
et,एट
strategy,रणनीति
clearly,स्पष्ट रूप से
property,संपत्ति
lay,धूल में मिलना
final,अंतिम
authority,प्राधिकरण
perfect,उत्तम
method,तरीका
region,क्षेत्र
since,जबसे
impact,प्रभाव
indicate,संकेत देना
safe,सुरक्षित
committee,समिति
supposed,कल्पित
dream,सपना
training,प्रशिक्षण
shit,मल
central,केंद्रीय
option,विकल्प
eight,आठ
particularly,विशेषतया
completely,पूरी तरह
opinion,राय
main,मुख्य
ten,दस
interview,साक्षात्कार
exist,मौजूद
remove,हटाना
dark,अँधेरा
play,प्ले Play
union,संघ
professor,प्रोफ़ेसर
pressure,दबाव
purpose,उद्देश्य
stage,मंच
blue,नीला
herself,स्वयं
sun,रवि
pain,दर्द
artist,कलाकार
employee,कर्मचारी
avoid,बचना
account,खाता
release,रिहाई
fund,निधि
environment,वातावरण
treat,व्यवहार करना
specific,विशिष्ट
version,संस्करण
shot,गोली मारना
hate,नफ़रत करना
reality,यथार्थ बात
visit,मुलाकात
club,क्लब
justice,न्याय
river,नदी
brain,दिमाग
memory,स्मृति
rock,चट्टान
talk,बात करना
camera,कैमरा
global,वैश्विक
various,विभिन्न
arrive,पहुँचना
notice,सूचना
bit,काटा
detail,विवरण
challenge,चुनौती
argument,बहस
lot,बहुत
nobody,कोई नहीं
weapon,हथियार
best,श्रेष्ठ
station,स्टेशन
island,द्वीप
absolutely,बिल्कुल
instead,बजाय
discussion,बहस
instead,बजाय
affect,प्रभावित करना
design,डिजाईन
little,थोड़ा
anyway,वैसे भी
respond,जवाब देना
control,नियंत्रण
trouble,मुसीबत
conversation,बातचीत
manage,प्रबंधित करना
close,बंद करना
date,दिनांक
public,जनता
army,सेना
top,ऊपर
post,पद
charge,शुल्क
seat,सीट
the,
be,होना
